question,pororo_ner
시음자들은 포도주를 맛보기 전에 무엇의 냄새를 맡나요?,"[('시음자', 'CIVILIZATION'), ('들은', 'O'), (' ', 'O'), ('포도주', 'CIVILIZATION'), ('를', 'O'), (' ', 'O'), ('맛보기', 'O'), (' ', 'O'), ('전에', 'O'), (' ', 'O'), ('무엇의', 'O'), (' ', 'O'), ('냄새를', 'O'), (' ', 'O'), ('맡나요?', 'O')]"
란돌포는 어느 섬에서 해적질을 결심하였는가?,"[('란돌포', 'LOCATION'), ('는', 'O'), (' ', 'O'), ('어느', 'O'), (' ', 'O'), ('섬에서', 'O'), (' ', 'O'), ('해적질을', 'O'), (' ', 'O'), ('결심하였는가?', 'O')]"
성제가 즉위하기 전의 왕은 누구인가?,"[('성제', 'PERSON'), ('가', 'O'), (' ', 'O'), ('즉위하기', 'O'), (' ', 'O'), ('전의', 'O'), (' ', 'O'), ('왕', 'OCCUPATION'), ('은', 'O'), (' ', 'O'), ('누구인가?', 'O')]"
마리아 수도원을 옮겨가게 한 사람은?,"[('마리아 수도원', 'ORGANIZATION'), ('을', 'O'), (' ', 'O'), ('옮겨가게', 'O'), (' ', 'O'), ('한', 'O'), (' ', 'O'), ('사람은?', 'O')]"
1870년대 이후로 더욱 발전한 것으로 총을 사용한 군의 병과는?,"[('1870년대 이후', 'DATE'), ('로', 'O'), (' ', 'O'), ('더욱', 'O'), (' ', 'O'), ('발전한', 'O'), (' ', 'O'), ('것으로', 'O'), (' ', 'O'), ('총', 'ARTIFACT'), ('을', 'O'), (' ', 'O'), ('사용한', 'O'), (' ', 'O'), ('군의', 'O'), (' ', 'O'), ('병과는?', 'O')]"
둘째 아들이 죽기 전에 사망한 사람은 주룰루와 어떤 사이였나요?,"[('둘째', 'QUANTITY'), (' ', 'O'), ('아들', 'CIVILIZATION'), ('이', 'O'), (' ', 'O'), ('죽기', 'O'), (' ', 'O'), ('전에', 'O'), (' ', 'O'), ('사망한', 'O'), (' ', 'O'), ('사람은', 'O'), (' ', 'O'), ('주룰루', 'PERSON'), ('와', 'O'), (' ', 'O'), ('어떤', 'O'), (' ', 'O'), ('사이였나요?', 'O')]"
1883년 대한 제국에 들어온 독일 해군 음악단이 소속된 함대는?,"[('1883년', 'DATE'), (' ', 'O'), ('대한 제국', 'LOCATION'), ('에', 'O'), (' ', 'O'), ('들어온', 'O'), (' ', 'O'), ('독일 해군 음악단', 'ORGANIZATION'), ('이', 'O'), (' ', 'O'), ('소속된', 'O'), (' ', 'O'), ('함대는?', 'O')]"
여성해방 이론에 마르트스주의을 접목시키자는 주장을 한 사람은?,"[('여성해방 이론', 'THEORY'), ('에', 'O'), (' ', 'O'), ('마르트스주의', 'THEORY'), ('을', 'O'), (' ', 'O'), ('접목시키자는', 'O'), (' ', 'O'), ('주장을', 'O'), (' ', 'O'), ('한', 'O'), (' ', 'O'), ('사람은?', 'O')]"
태어난 지 얼마 안 된 웨이게오쿠스쿠스는 무엇이 달라지는가?,"[('태어난', 'O'), (' ', 'O'), ('지', 'O'), (' ', 'O'), ('얼마', 'O'), (' ', 'O'), ('안', 'O'), (' ', 'O'), ('된', 'O'), (' ', 'O'), ('웨이게오쿠스쿠스', 'PERSON'), ('는', 'O'), (' ', 'O'), ('무엇이', 'O'), (' ', 'O'), ('달라지는가?', 'O')]"
훗날 파우라바 왕국을 세운 민족은?,"[('훗날', 'O'), (' ', 'O'), ('파우라바 왕국', 'LOCATION'), ('을', 'O'), (' ', 'O'), ('세운', 'O'), (' ', 'O'), ('민족은?', 'O')]"
조지 4세의 즉위 연회가 열린곳이 지어진 해는?,"[('조지', 'PERSON'), (' ', 'O'), ('4세', 'QUANTITY'), ('의', 'O'), (' ', 'O'), ('즉위', 'O'), (' ', 'O'), ('연회가', 'O'), (' ', 'O'), ('열린곳이', 'O'), (' ', 'O'), ('지어진', 'O'), (' ', 'O'), ('해는?', 'O')]"
존 프레스톤이 성직자로 활동한 교회는 어느 국가에 있었나요?,"[('존 프레스톤', 'PERSON'), ('이', 'O'), (' ', 'O'), ('성직자', 'CIVILIZATION'), ('로', 'O'), (' ', 'O'), ('활동한', 'O'), (' ', 'O'), ('교회는', 'O'), (' ', 'O'), ('어느', 'O'), (' ', 'O'), ('국가에', 'O'), (' ', 'O'), ('있었나요?', 'O')]"
러시아어 교사 양미숙의 얼굴이 붉은 이유는?,"[('러시아어', 'CIVILIZATION'), (' ', 'O'), ('교사', 'OCCUPATION'), (' ', 'O'), ('양미숙', 'PERSON'), ('의', 'O'), (' ', 'O'), ('얼굴', 'ANIMAL'), ('이', 'O'), (' ', 'O'), ('붉은', 'O'), (' ', 'O'), ('이유는?', 'O')]"
1972년에 실시된 서독 총선거에서 뽑아야 하는 서베를린의 의원 수는?,"[('1972년', 'DATE'), ('에', 'O'), (' ', 'O'), ('실시된', 'O'), (' ', 'O'), ('서독 총선거', 'EVENT'), ('에서', 'O'), (' ', 'O'), ('뽑아야', 'O'), (' ', 'O'), ('하는', 'O'), (' ', 'O'), ('서베를린', 'CITY'), ('의', 'O'), (' ', 'O'), ('의원', 'OCCUPATION'), (' ', 'O'), ('수는?', 'O')]"
일왕의 편지를 가지고 고종을 협박한 인물은?,"[('일왕', 'CIVILIZATION'), ('의', 'O'), (' ', 'O'), ('편지를', 'O'), (' ', 'O'), ('가지고', 'O'), (' ', 'O'), ('고종', 'PERSON'), ('을', 'O'), (' ', 'O'), ('협박한', 'O'), (' ', 'O'), ('인물은?', 'O')]"
데이빗은 평행우주를 증명하기 위해서는 어떤 기계가 필요하다고 주장했나요?,"[('데이빗', 'PERSON'), ('은', 'O'), (' ', 'O'), ('평행우주를', 'O'), (' ', 'O'), ('증명하기', 'O'), (' ', 'O'), ('위해서는', 'O'), (' ', 'O'), ('어떤', 'O'), (' ', 'O'), ('기계가', 'O'), (' ', 'O'), ('필요하다고', 'O'), (' ', 'O'), ('주장했나요?', 'O')]"
바다뱀자리 방향에 위치한 중력체가 움직인 원인은 무엇으로 추정되나요?,"[('바다뱀자리', 'O'), (' ', 'O'), ('방향에', 'O'), (' ', 'O'), ('위치한', 'O'), (' ', 'O'), ('중', 'TERM'), ('력체', 'TERM'), ('가', 'O'), (' ', 'O'), ('움직인', 'O'), (' ', 'O'), ('원인은', 'O'), (' ', 'O'), ('무엇으로', 'O'), (' ', 'O'), ('추정되나요?', 'O')]"
워렌이 영화 스텝진에게 급여 대신 주기로 한 것은?,"[('워렌', 'PERSON'), ('이', 'O'), (' ', 'O'), ('영화', 'O'), (' ', 'O'), ('스텝진', 'CIVILIZATION'), ('에게', 'O'), (' ', 'O'), ('급여', 'O'), (' ', 'O'), ('대신', 'O'), (' ', 'O'), ('주기로', 'O'), (' ', 'O'), ('한', 'O'), (' ', 'O'), ('것은?', 'O')]"
조경의 할아버지는 누구인가?,"[('조경의', 'O'), (' ', 'O'), ('할아버지', 'CIVILIZATION'), ('는', 'O'), (' ', 'O'), ('누구인가?', 'O')]"
일본에서 가장 긴 고속도로의 마지막 지점이 되는 도시는 어디인가?,"[('일본', 'COUNTRY'), ('에서', 'O'), (' ', 'O'), ('가장', 'O'), (' ', 'O'), ('긴', 'O'), (' ', 'O'), ('고속도로의', 'O'), (' ', 'O'), ('마지막', 'O'), (' ', 'O'), ('지점이', 'O'), (' ', 'O'), ('되는', 'O'), (' ', 'O'), ('도시는', 'O'), (' ', 'O'), ('어디인가?', 'O')]"
델리가 만든 발명품 중 산화 되지 않는다고 알려진 것은?,"[('델리', 'PERSON'), ('가', 'O'), (' ', 'O'), ('만든', 'O'), (' ', 'O'), ('발명품', 'O'), (' ', 'O'), ('중', 'O'), (' ', 'O'), ('산화', 'O'), (' ', 'O'), ('되지', 'O'), (' ', 'O'), ('않는다고', 'O'), (' ', 'O'), ('알려진', 'O'), (' ', 'O'), ('것은?', 'O')]"
동심원 우주 이론을 만든자로 코페르니쿠스의 우주 체계에 영향을 끼친 사람은?,"[('동심원 우주', 'THEORY'), (' ', 'O'), ('이론을', 'O'), (' ', 'O'), ('만든자로', 'O'), (' ', 'O'), ('코페르니쿠스', 'PERSON'), ('의', 'O'), (' ', 'O'), ('우주', 'O'), (' ', 'O'), ('체계에', 'O'), (' ', 'O'), ('영향을', 'O'), (' ', 'O'), ('끼친', 'O'), (' ', 'O'), ('사람은?', 'O')]"
말제르브가 1776년에 퇴직한 곳은?,"[('말제르브', 'PERSON'), ('가', 'O'), (' ', 'O'), ('1776년', 'DATE'), ('에', 'O'), (' ', 'O'), ('퇴직한', 'O'), (' ', 'O'), ('곳은?', 'O')]"
산스크리트어 문법학 전통을 처음 연구한 인물은?,"[('산스크리트어', 'CIVILIZATION'), (' ', 'O'), ('문법학', 'STUDY_FIELD'), (' ', 'O'), ('전통을', 'O'), (' ', 'O'), ('처음', 'O'), (' ', 'O'), ('연구한', 'O'), (' ', 'O'), ('인물은?', 'O')]"
페리 정부가 막을 내린 시기는?,"[('페리', 'ARTIFACT'), (' ', 'O'), ('정부', 'ORGANIZATION'), ('가', 'O'), (' ', 'O'), ('막을', 'O'), (' ', 'O'), ('내린', 'O'), (' ', 'O'), ('시기는?', 'O')]"
에르네스트가 떠나면서 마짜에게 남긴 것은?,"[('에르네스트', 'PERSON'), ('가', 'O'), (' ', 'O'), ('떠나면서', 'O'), (' ', 'O'), ('마짜', 'PERSON'), ('에게', 'O'), (' ', 'O'), ('남긴', 'O'), (' ', 'O'), ('것은?', 'O')]"
신익희는 어느 장소에서 윤치호에게 독립운동 참여를 권유했나요?,"[('신익희', 'PERSON'), ('는', 'O'), (' ', 'O'), ('어느', 'O'), (' ', 'O'), ('장소에서', 'O'), (' ', 'O'), ('윤치호', 'PERSON'), ('에게', 'O'), (' ', 'O'), ('독립운동', 'EVENT'), (' ', 'O'), ('참여를', 'O'), (' ', 'O'), ('권유했나요?', 'O')]"
판매자가 소비자가 원하는 물건을 조달해와 판매했던 방식은?,"[('판매자', 'CIVILIZATION'), ('가', 'O'), (' ', 'O'), ('소비자', 'CIVILIZATION'), ('가', 'O'), (' ', 'O'), ('원하는', 'O'), (' ', 'O'), ('물건을', 'O'), (' ', 'O'), ('조달해와', 'O'), (' ', 'O'), ('판매했던', 'O'), (' ', 'O'), ('방식은?', 'O')]"
2008년 2월 6일에 마이너 리그 계약을 맺은 선수가 100번째 경력 홈런을 친 날은?,"[('2008년 2월 6일', 'DATE'), ('에', 'O'), (' ', 'O'), ('마이너', 'ORGANIZATION'), (' ', 'O'), ('리그', 'O'), (' ', 'O'), ('계약을', 'O'), (' ', 'O'), ('맺은', 'O'), (' ', 'O'), ('선수', 'OCCUPATION'), ('가', 'O'), (' ', 'O'), ('100번째', 'QUANTITY'), (' ', 'O'), ('경력', 'O'), (' ', 'O'), ('홈런', 'TERM'), ('을', 'O'), (' ', 'O'), ('친', 'O'), (' ', 'O'), ('날은?', 'O')]"
미국 관세사들이 짝퉁 판매 사이트를 제재한 시기는?,"[('미국', 'COUNTRY'), (' ', 'O'), ('관세사', 'CIVILIZATION'), ('들이', 'O'), (' ', 'O'), ('짝퉁', 'O'), (' ', 'O'), ('판매', 'O'), (' ', 'O'), ('사이트를', 'O'), (' ', 'O'), ('제재한', 'O'), (' ', 'O'), ('시기는?', 'O')]"
사탄이 따뜻한 마음을 가진 주인공으로 등장하는 작품은 무엇인가?,"[('사탄', 'PERSON'), ('이', 'O'), (' ', 'O'), ('따뜻한', 'O'), (' ', 'O'), ('마음을', 'O'), (' ', 'O'), ('가진', 'O'), (' ', 'O'), ('주인공', 'CIVILIZATION'), ('으로', 'O'), (' ', 'O'), ('등장하는', 'O'), (' ', 'O'), ('작품은', 'O'), (' ', 'O'), ('무엇인가?', 'O')]"
나치 강제 수용소 수감자 중 가장 높은 비율을 차지한 민족은?,"[('나치', 'ORGANIZATION'), (' ', 'O'), ('강제', 'O'), (' ', 'O'), ('수용소', 'O'), (' ', 'O'), ('수감자', 'CIVILIZATION'), (' ', 'O'), ('중', 'O'), (' ', 'O'), ('가장', 'O'), (' ', 'O'), ('높은', 'O'), (' ', 'O'), ('비율을', 'O'), (' ', 'O'), ('차지한', 'O'), (' ', 'O'), ('민족은?', 'O')]"
7월 4일 북한군이 전투를 벌인곳은?,"[('7월 4일', 'DATE'), (' ', 'O'), ('북한군', 'ORGANIZATION'), ('이', 'O'), (' ', 'O'), ('전투를', 'O'), (' ', 'O'), ('벌인곳은?', 'O')]"
거문도를 포트해필턴이라고 불렀던 국가는?,"[('거문도', 'LOCATION'), ('를', 'O'), (' ', 'O'), ('포트해필턴', 'PERSON'), ('이라고', 'O'), (' ', 'O'), ('불렀던', 'O'), (' ', 'O'), ('국가는?', 'O')]"
바르나 십자군의 구성국가는?,"[('바르나 십자군', 'EVENT'), ('의', 'O'), (' ', 'O'), ('구성국가는?', 'O')]"
1970년대를 중심으로 남녀간의 통속적인 사랑을 표현한 대중적인 내용의 저서는?,"[('1970년대', 'DATE'), ('를', 'O'), (' ', 'O'), ('중심으로', 'O'), (' ', 'O'), ('남녀간의', 'O'), (' ', 'O'), ('통속적인', 'O'), (' ', 'O'), ('사랑을', 'O'), (' ', 'O'), ('표현한', 'O'), (' ', 'O'), ('대중적인', 'O'), (' ', 'O'), ('내용의', 'O'), (' ', 'O'), ('저서는?', 'O')]"
중국공산당의 본사는 어디에 있나요?,"[('중국공산당', 'ORGANIZATION'), ('의', 'O'), (' ', 'O'), ('본사는', 'O'), (' ', 'O'), ('어디에', 'O'), (' ', 'O'), ('있나요?', 'O')]"
1859년에 중부 이탈리아를 병합한 나라의 왕은?,"[('1859년', 'DATE'), ('에', 'O'), (' ', 'O'), ('중부', 'TERM'), (' ', 'O'), ('이탈리아', 'COUNTRY'), ('를', 'O'), (' ', 'O'), ('병합한', 'O'), (' ', 'O'), ('나라의', 'O'), (' ', 'O'), ('왕', 'OCCUPATION'), ('은?', 'O')]"
쿠라이시 부족이 후발을 숭배하는 장소에 대해 글을 썼던 인물은?,"[('쿠라이시', 'LOCATION'), (' ', 'O'), ('부족이', 'O'), (' ', 'O'), ('후발을', 'O'), (' ', 'O'), ('숭배하는', 'O'), (' ', 'O'), ('장소에', 'O'), (' ', 'O'), ('대해', 'O'), (' ', 'O'), ('글을', 'O'), (' ', 'O'), ('썼던', 'O'), (' ', 'O'), ('인물은?', 'O')]"
노르드인 탐험가들과 함께 북아메리카 북대서양 해안에서 세 개의 땅을 찾아낸 인물은?,"[('노르드인', 'CIVILIZATION'), (' ', 'O'), ('탐험가', 'OCCUPATION'), ('들과', 'O'), (' ', 'O'), ('함께', 'O'), (' ', 'O'), ('북아메리카', 'LOCATION'), (' ', 'O'), ('북대서양', 'LOCATION'), (' ', 'O'), ('해안에서', 'O'), (' ', 'O'), ('세 개', 'QUANTITY'), ('의', 'O'), (' ', 'O'), ('땅을', 'O'), (' ', 'O'), ('찾아낸', 'O'), (' ', 'O'), ('인물은?', 'O')]"
도미니시가 밴드에서 맡았던 역할은?,"[('도미니시', 'PERSON'), ('가', 'O'), (' ', 'O'), ('밴드에서', 'O'), (' ', 'O'), ('맡았던', 'O'), (' ', 'O'), ('역할은?', 'O')]"
청동기 이전 모계 사회의 존재를 찾아낸 학자의 이름은?,"[('청동기 이전', 'DATE'), (' ', 'O'), ('모계', 'O'), (' ', 'O'), ('사회의', 'O'), (' ', 'O'), ('존재를', 'O'), (' ', 'O'), ('찾아낸', 'O'), (' ', 'O'), ('학자', 'OCCUPATION'), ('의', 'O'), (' ', 'O'), ('이름은?', 'O')]"
빨치산 파는 누구를 중심으로 파벌을 구성했나요?,"[('빨치산', 'ORGANIZATION'), (' ', 'O'), ('파는', 'O'), (' ', 'O'), ('누구를', 'O'), (' ', 'O'), ('중심으로', 'O'), (' ', 'O'), ('파벌을', 'O'), (' ', 'O'), ('구성했나요?', 'O')]"
버클러를 이용하거나 애초에 방패의 장점을 버리고 양손 무기를 썼던 사람들은?,"[('버클러', 'ARTIFACT'), ('를', 'O'), (' ', 'O'), ('이용하거나', 'O'), (' ', 'O'), ('애초에', 'O'), (' ', 'O'), ('방패의', 'O'), (' ', 'O'), ('장점을', 'O'), (' ', 'O'), ('버리고', 'O'), (' ', 'O'), ('양손', 'ANIMAL'), (' ', 'O'), ('무기를', 'O'), (' ', 'O'), ('썼던', 'O'), (' ', 'O'), ('사람들은?', 'O')]"
안티고네스가 셀레우코스를 기습 침략하며 시작된 전쟁은?,"[('안티고네스', 'PERSON'), ('가', 'O'), (' ', 'O'), ('셀레우코스', 'LOCATION'), ('를', 'O'), (' ', 'O'), ('기습', 'O'), (' ', 'O'), ('침략하며', 'O'), (' ', 'O'), ('시작된', 'O'), (' ', 'O'), ('전쟁은?', 'O')]"
1024년에 조지아로 도망간 인물은?,"[('1024년', 'DATE'), ('에', 'O'), (' ', 'O'), ('조지아', 'COUNTRY'), ('로', 'O'), (' ', 'O'), ('도망간', 'O'), (' ', 'O'), ('인물은?', 'O')]"
일본의 헌법 제1조의 이념을 받쳐주는 내용은 무엇인가요?,"[('일본', 'COUNTRY'), ('의', 'O'), (' ', 'O'), ('헌법', 'CIVILIZATION'), (' ', 'O'), ('제1조', 'QUANTITY'), ('의', 'O'), (' ', 'O'), ('이념을', 'O'), (' ', 'O'), ('받쳐주는', 'O'), (' ', 'O'), ('내용은', 'O'), (' ', 'O'), ('무엇인가요?', 'O')]"
토머스 베켓이 캔터베리의 대주교관으로 들어가기 전 사망한 인물은?,"[('토머스 베켓', 'PERSON'), ('이', 'O'), (' ', 'O'), ('캔터베리', 'CITY'), ('의', 'O'), (' ', 'O'), ('대주교관', 'CIVILIZATION'), ('으로', 'O'), (' ', 'O'), ('들어가기', 'O'), (' ', 'O'), ('전', 'O'), (' ', 'O'), ('사망한', 'O'), (' ', 'O'), ('인물은?', 'O')]"
커스터드 중 진한 크림의 제형은 주로 어디에 사용되는가?,"[('커스터드', 'CIVILIZATION'), (' ', 'O'), ('중', 'O'), (' ', 'O'), ('진한', 'O'), (' ', 'O'), ('크림의', 'O'), (' ', 'O'), ('제형은', 'O'), (' ', 'O'), ('주로', 'O'), (' ', 'O'), ('어디에', 'O'), (' ', 'O'), ('사용되는가?', 'O')]"
자신의 애첩과 함께 몰래 일본으로 도망간 자유당 인물은?,"[('자신의', 'O'), (' ', 'O'), ('애첩', 'CIVILIZATION'), ('과', 'O'), (' ', 'O'), ('함께', 'O'), (' ', 'O'), ('몰래', 'O'), (' ', 'O'), ('일본', 'COUNTRY'), ('으로', 'O'), (' ', 'O'), ('도망간', 'O'), (' ', 'O'), ('자유당', 'ORGANIZATION'), (' ', 'O'), ('인물은?', 'O')]"
독일 A집단군을 고립시키기 위해 소련군이 펼친 전술은?,"[('독일', 'COUNTRY'), (' ', 'O'), ('A집단군을', 'O'), (' ', 'O'), ('고립시키기', 'O'), (' ', 'O'), ('위해', 'O'), (' ', 'O'), ('소련군', 'ORGANIZATION'), ('이', 'O'), (' ', 'O'), ('펼친', 'O'), (' ', 'O'), ('전술은?', 'O')]"
"1970년대 중반, 이즐링턴역에서의 노선 연장에 필요한 예산은 얼마였는가?","[('1970년대 중반', 'DATE'), (',', 'O'), (' ', 'O'), ('이즐링턴역', 'LOCATION'), ('에서의', 'O'), (' ', 'O'), ('노선', 'O'), (' ', 'O'), ('연장에', 'O'), (' ', 'O'), ('필요한', 'O'), (' ', 'O'), ('예산은', 'O'), (' ', 'O'), ('얼마였는가?', 'O')]"
제우스를 크레타 섬에 숨겨 키운 신의 남편은?,"[('제우스', 'PERSON'), ('를', 'O'), (' ', 'O'), ('크레타 섬', 'LOCATION'), ('에', 'O'), (' ', 'O'), ('숨겨', 'O'), (' ', 'O'), ('키운', 'O'), (' ', 'O'), ('신', 'CIVILIZATION'), ('의', 'O'), (' ', 'O'), ('남편', 'CIVILIZATION'), ('은?', 'O')]"
서 베를린의 독일 오페라를 현대적인 고대 양식으로 연출한 사람은?,"[('서', 'O'), (' ', 'O'), ('베를린', 'CITY'), ('의', 'O'), (' ', 'O'), ('독일', 'COUNTRY'), (' ', 'O'), ('오페라', 'STUDY_FIELD'), ('를', 'O'), (' ', 'O'), ('현대적인', 'O'), (' ', 'O'), ('고대', 'O'), (' ', 'O'), ('양식으로', 'O'), (' ', 'O'), ('연출한', 'O'), (' ', 'O'), ('사람은?', 'O')]"
교황 스테파노 9세가 사망한 년도는?,"[('교황', 'CIVILIZATION'), (' ', 'O'), ('스테파노', 'PERSON'), (' ', 'O'), ('9세', 'QUANTITY'), ('가', 'O'), (' ', 'O'), ('사망한', 'O'), (' ', 'O'), ('년도는?', 'O')]"
가잔 칸이 해방 몽골 노예 부대의 사령관으로 임명한 사람의 본래 직위는 무엇인가?,"[('가잔 칸', 'PERSON'), ('이', 'O'), (' ', 'O'), ('해방', 'O'), (' ', 'O'), ('몽골', 'COUNTRY'), (' ', 'O'), ('노예 부대', 'ORGANIZATION'), ('의', 'O'), (' ', 'O'), ('사령관', 'CIVILIZATION'), ('으로', 'O'), (' ', 'O'), ('임명한', 'O'), (' ', 'O'), ('사람의', 'O'), (' ', 'O'), ('본래', 'O'), (' ', 'O'), ('직위는', 'O'), (' ', 'O'), ('무엇인가?', 'O')]"
주산을 비판한 사람은?,"[('주산을', 'O'), (' ', 'O'), ('비판한', 'O'), (' ', 'O'), ('사람은?', 'O')]"
만지로가 나카하마 성을 부여받은 해는?,"[('만지로', 'PERSON'), ('가', 'O'), (' ', 'O'), ('나카하마 성', 'LOCATION'), ('을', 'O'), (' ', 'O'), ('부여받은', 'O'), (' ', 'O'), ('해는?', 'O')]"
에리오르에게는 효력이 없는 마법은?,"[('에리오르', 'PERSON'), ('에게는', 'O'), (' ', 'O'), ('효력이', 'O'), (' ', 'O'), ('없는', 'O'), (' ', 'O'), ('마법은?', 'O')]"
공격을 받아 쓰러진 우시를 보고 화가 나 공격한 인물은?,"[('공격을', 'O'), (' ', 'O'), ('받아', 'O'), (' ', 'O'), ('쓰러진', 'O'), (' ', 'O'), ('우시', 'PERSON'), ('를', 'O'), (' ', 'O'), ('보고', 'O'), (' ', 'O'), ('화가', 'O'), (' ', 'O'), ('나', 'O'), (' ', 'O'), ('공격한', 'O'), (' ', 'O'), ('인물은?', 'O')]"
스퀴드워드를 주로 무시하는 등장인물은?,"[('스퀴드워드', 'ARTIFACT'), ('를', 'O'), (' ', 'O'), ('주로', 'O'), (' ', 'O'), ('무시하는', 'O'), (' ', 'O'), ('등장인물은?', 'O')]"
제1차 세계 대전 기간 중에 목숨을 잃은 인도인은 모두 몇 명인가?,"[('제1차', 'QUANTITY'), (' ', 'O'), ('세계 대전', 'EVENT'), (' ', 'O'), ('기간', 'O'), (' ', 'O'), ('중에', 'O'), (' ', 'O'), ('목숨을', 'O'), (' ', 'O'), ('잃은', 'O'), (' ', 'O'), ('인도인', 'CIVILIZATION'), ('은', 'O'), (' ', 'O'), ('모두', 'O'), (' ', 'O'), ('몇', 'O'), (' ', 'O'), ('명인가?', 'O')]"
프로이센이 독일 종교가 서로 끈끈하게 뭉쳐질 수 있도록 칼뱅파와 루터파를 포함한 신교들을 합친 해는?,"[('프로이센', 'ORGANIZATION'), ('이', 'O'), (' ', 'O'), ('독일', 'COUNTRY'), (' ', 'O'), ('종교가', 'O'), (' ', 'O'), ('서로', 'O'), (' ', 'O'), ('끈끈하게', 'O'), (' ', 'O'), ('뭉쳐질', 'O'), (' ', 'O'), ('수', 'O'), (' ', 'O'), ('있도록', 'O'), (' ', 'O'), ('칼뱅파', 'ORGANIZATION'), ('와', 'O'), (' ', 'O'), ('루터파', 'ORGANIZATION'), ('를', 'O'), (' ', 'O'), ('포함한', 'O'), (' ', 'O'), ('신교', 'ORGANIZATION'), ('들을', 'O'), (' ', 'O'), ('합친', 'O'), (' ', 'O'), ('해는?', 'O')]"
존 벨루시는 코카인과 무엇을 함께 주사했는가?,"[('존 벨루시', 'PERSON'), ('는', 'O'), (' ', 'O'), ('코카인', 'ARTIFACT'), ('과', 'O'), (' ', 'O'), ('무엇을', 'O'), (' ', 'O'), ('함께', 'O'), (' ', 'O'), ('주사했는가?', 'O')]"
와타루가 부활동을 시작한 이유는?,"[('와타루', 'PERSON'), ('가', 'O'), (' ', 'O'), ('부활동을', 'O'), (' ', 'O'), ('시작한', 'O'), (' ', 'O'), ('이유는?', 'O')]"
여운형의 산소는 어디에 있는가?,"[('여운형', 'PERSON'), ('의', 'O'), (' ', 'O'), ('산소', 'MATERIAL'), ('는', 'O'), (' ', 'O'), ('어디에', 'O'), (' ', 'O'), ('있는가?', 'O')]"
하이팅크가 계관 지휘자라는 수식이 붙기 시작한 년도는?,"[('하이팅크', 'PERSON'), ('가', 'O'), (' ', 'O'), ('계관', 'O'), (' ', 'O'), ('지휘자', 'CIVILIZATION'), ('라는', 'O'), (' ', 'O'), ('수식이', 'O'), (' ', 'O'), ('붙기', 'O'), (' ', 'O'), ('시작한', 'O'), (' ', 'O'), ('년도는?', 'O')]"
명함은 어디에 보관해야 하나요?,"[('명함은', 'O'), (' ', 'O'), ('어디에', 'O'), (' ', 'O'), ('보관해야', 'O'), (' ', 'O'), ('하나요?', 'O')]"
외국인 선교사들은 어떤 사람들의 부탁을 거절했는가?,"[('외국인', 'CIVILIZATION'), (' ', 'O'), ('선교사', 'OCCUPATION'), ('들은', 'O'), (' ', 'O'), ('어떤', 'O'), (' ', 'O'), ('사람들의', 'O'), (' ', 'O'), ('부탁을', 'O'), (' ', 'O'), ('거절했는가?', 'O')]"
최초의 여성적위대가 참고한 부대 모델은 어느 국가의 것이었나?,"[('최초의', 'O'), (' ', 'O'), ('여성적위대', 'ORGANIZATION'), ('가', 'O'), (' ', 'O'), ('참고한', 'O'), (' ', 'O'), ('부대', 'O'), (' ', 'O'), ('모델은', 'O'), (' ', 'O'), ('어느', 'O'), (' ', 'O'), ('국가의', 'O'), (' ', 'O'), ('것이었나?', 'O')]"
볼셰비키와 멘셰비키가 갈라선 해는?,"[('볼셰비키', 'PERSON'), ('와', 'O'), (' ', 'O'), ('멘셰비키', 'PERSON'), ('가', 'O'), (' ', 'O'), ('갈라선', 'O'), (' ', 'O'), ('해는?', 'O')]"
게펀은 툴라기에 누구를 초대하려 했나요?,"[('게펀', 'PERSON'), ('은', 'O'), (' ', 'O'), ('툴라기', 'ARTIFACT'), ('에', 'O'), (' ', 'O'), ('누구를', 'O'), (' ', 'O'), ('초대하려', 'O'), (' ', 'O'), ('했나요?', 'O')]"
교황 요한 바오로 2세는 카마라 대주교와 함께 누가 인간다운 삶을 살 수 있도록 도왔는가?,"[('교황', 'CIVILIZATION'), (' ', 'O'), ('요한 바오로', 'PERSON'), (' ', 'O'), ('2세', 'QUANTITY'), ('는', 'O'), (' ', 'O'), ('카마라', 'PERSON'), (' ', 'O'), ('대주교', 'CIVILIZATION'), ('와', 'O'), (' ', 'O'), ('함께', 'O'), (' ', 'O'), ('누가', 'O'), (' ', 'O'), ('인간다운', 'O'), (' ', 'O'), ('삶을', 'O'), (' ', 'O'), ('살', 'O'), (' ', 'O'), ('수', 'O'), (' ', 'O'), ('있도록', 'O'), (' ', 'O'), ('도왔는가?', 'O')]"
옵티마테스를 마침내 쓰러트리고 힘을 얻은 사람은 누구인가?,"[('옵티마테스', 'PERSON'), ('를', 'O'), (' ', 'O'), ('마침내', 'O'), (' ', 'O'), ('쓰러트리고', 'O'), (' ', 'O'), ('힘을', 'O'), (' ', 'O'), ('얻은', 'O'), (' ', 'O'), ('사람은', 'O'), (' ', 'O'), ('누구인가?', 'O')]"
누가 이슬람군에게 연설을 했나?,"[('누가', 'O'), (' ', 'O'), ('이슬람군', 'ORGANIZATION'), ('에게', 'O'), (' ', 'O'), ('연설을', 'O'), (' ', 'O'), ('했나?', 'O')]"
